서울,3.11,2.7,3,3.4,3.2,3.5,3.6
부산,3.66,3.6,3.8,4.8,4.8,5.4,4.7
대구,4.24,3.4,3.7,3.8,3.6,4,3.8
인천,3.19,2.8,2.9,4.2,4.5,3.9,3.4
광주,3.39,3.3,4.4,3.7,3.8,3.9,3.6
대전,4.12,2.9,2.9,3.2,3.9,4.1,3.8
울산,4.65,3.8,3.8,3.7,4.4,4,4.4
세종,3.74,2.4,3.4,2.8,3.8,3.7,3.5
경기,3.13,2.8,2.6,2.8,3.1,3.4,3.1
강원,3.15,2.5,3.2,2.8,3.5,3.5,3.2
충북,4.01,2.6,3.4,3.1,3.6,4.1,4.2
충남,4.06,3.2,3.3,3.2,3.5,3.7,3.3
전북,4.29,4.6,4.5,3.7,3.4,3.4,3.3
전남,4.1,4.2,4.6,4.5,3.9,3.7,3.9
경북,4.46,3.6,3.8,3.6,3.2,3.7,4.3
경남,3.81,3.7,3.4,4.6,5.3,5.3,4.9
제주,3.45,2.9,2.8,2.5,4.3,3.5,2.9
