서울특별시,-87831,-137256,-140257,-98486,-110230,-49588,-64850,-106243,-35340,-31250
부산광역시,-15092,-13560,-21392,-28398,-26759,-23354,-14347,-18903,-13562,-11432
대구광역시,-15526,-12940,-9260,-11936,-14242,-23673,-16835,-24319,-11519,-5288
인천광역시,9324,9538,5777,-1670,-67,-2337,-15748,11423,28101,33507
광주광역시,-2977,-9272,-7898,-8118,-6216,-3875,-6083,-5883,-7642,-9017
대전광역시,-8838,-20616,-10631,-16175,-14753,-16342,-11097,-8931,-2996,-2474
울산광역시,2786,-80,-7622,-11917,-12654,-10172,-13584,-13674,-9536,-6215
세종특별자치시,33456,53044,29816,34690,31433,23724,13025,14085,10128,1690
경기도,57396,94768,133617,116162,170094,134666,168373,150517,43882,44612
강원특별자치도,2085,4773,1892,2035,-3854,1661,5457,6681,7494,-1397
충청북도,2367,1438,5011,2262,5149,2565,3454,3462,5201,3873
충청남도,9810,10272,15318,19401,10084,-794,741,8522,14314,15840
전북특별자치도,-2563,-2830,-4419,-7206,-13773,-12748,-8494,-5801,-5115,-4457
전라남도,-596,3936,-3205,-3047,-8030,-8788,-9754,-4487,-345,-1800
경상북도,-988,-577,-3151,-5581,-9225,-4571,-16978,3337,-7666,-8205
경상남도,6075,5105,1772,3979,-5810,-9310,-16658,-13703,-18547,-16300
제주특별자치도,11112,14257,14632,14005,8853,2936,3378,3917,3148,-1687
